"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"молодой";"молодой";"A,m,nom,plen,sg";"A";"1";"человек";"человек";"S,anim,m,nom,sg";"S";"0.002087";"0.0019994459388076704";"0.0021783796116576944";"37.19771943507723";"35.63719648173087";"38.82642722450188";"14487.428075999998";"13879.649846826269";"15121.762312465577"
"великий";"великий";"A,m,nom,plen,sg";"A";"1";"князь";"князь";"S,anim,m,nom,sg";"S";"0.001136";"0.001071865266719042";"0.001203967590441454";"20.247536788810606";"19.104429067378604";"21.458959577463908";"7885.825728";"7440.618571516376";"8357.639613011781"
"больший";"большая";"A,comp,f,nom,sg";"A";"1";"часть";"часть";"S,f,inan,nom,sg";"S";"0.001091";"0.0010281843043009047";"0.001157648898602263";"19.445477673056665";"18.325879865325884";"20.633396710365666";"7573.4470679999995";"7137.396338012196";"8036.106926574462"
"молодой";"молодые";"A,nom,pl,plen";"A";"1";"человек";"люди";"S,anim,m,nom,pl";"S";"0.00072";"0.0006693097695054385";"0.0007745262838539788";"12.83294585206306";"11.929466708777918";"13.804797030135743";"4998.0585599999995";"4646.179753844839";"5376.5662818907895"
"милостивый";"милостивый";"A,m,nom,plen,sg";"A";"1";"государь";"государь";"S,anim,m,nom,sg";"S";"0.000568";"0.0005231803811028531";"0.0006166568400984779";"10.123768394405303";"9.324924307714763";"10.991005330955662";"3942.912864";"3631.786364159968";"4280.676386439929"
"честный";"честное";"A,n,nom,plen,sg";"A";"1";"слово";"слово";"S,inan,n,nom,sg";"S";"0.000434";"0.00039505095375179004";"0.00047678729699438585";"7.735414583049123";"7.041204858753598";"8.498035507333976";"3012.7186319999996";"2742.3441681045806";"3309.7372653361836"
"целый";"целый";"A,m,nom,plen,sg";"A";"1";"ряд";"ряд";"S,inan,m,nom,sg";"S";"0.000399";"0.0003617291528409436";"0.00044010936681619927";"7.111590826351613";"6.447292543778433";"7.844305101858395";"2769.757452";"2511.032623275314";"3055.1283168776176"
"молодой";"молодая";"A,f,nom,plen,sg";"A";"1";"женщина";"женщина";"S,anim,f,nom,sg";"S";"0.000383";"0.00034652078715939583";"0.0004233178554284748";"6.826414251861323";"6.176225691987215";"7.545020995729272";"2658.689484";"2405.4599812221613";"2938.565876284904"
"советский";"советская";"A,f,nom,plen,sg";"A";"1";"власть";"власть";"S,f,inan,nom,sg";"S";"0.000354";"0.000318998923690414";"0.00039283994170940064";"6.309531710597672";"5.68568877025761";"7.00179680622826";"2457.378792";"2214.410140530084";"2726.9958796813485"
"значительный";"значительная";"A,f,nom,plen,sg";"A";"1";"часть";"часть";"S,f,inan,nom,sg";"S";"0.00033";"0.0002962685872228258";"0.0003675704625730805";"5.881766848862236";"5.280553802080202";"6.551405337525157";"2290.77684";"2056.621872816876";"2551.581523425756"
"русский";"русский";"A,m,nom,plen,sg";"A";"1";"народ";"народ";"S,inan,m,nom,sg";"S";"0.000312";"0.00027925137399432254";"0.0003485878140986524";"5.56094320256066";"4.977246891087988";"6.213067420856988";"2165.825376";"1938.4926669223403";"2419.808761343692"
"советский";"советский";"A,m,nom,plen,sg";"A";"1";"союз";"союз";"S,inan,m,nom,sg";"S";"0.000299";"0.0002669788782490833";"0.00033486040972510793";"5.329237235787298";"4.758507622520864";"5.9683965361138345";"2075.582652";"1853.3000941278171";"2324.5165794884488"
"русский";"русский";"A,m,nom,plen,sg";"A";"1";"человек";"человек";"S,anim,m,nom,sg";"S";"0.00029";"0.00025849181879307573";"0.00032534753832964993";"5.16882541263651";"4.607238213573385";"5.798843531231124";"2013.10692";"1794.3850661231957";"2258.4806235047704"
"генеральный";"генеральный";"A,m,nom,plen,sg";"A";"1";"директор";"директор";"S,anim,m,nom,sg";"S";"0.000287";"0.00025566455894829846";"0.00032217482122393857";"5.115354804919582";"4.556846446215414";"5.7422944939790295";"1992.2816759999998";"1774.7589407502328";"2236.456420881633"
"хороший";"хороший";"A,m,nom,plen,sg";"A";"1";"человек";"человек";"S,anim,m,nom,sg";"S";"0.000281";"0.00025001276225653017";"0.0003158266640147298";"5.0084135894857225";"4.456111444948288";"5.629147886026029";"1950.6311879999998";"1735.5255923687437";"2192.3891132709227"
"великий";"великая";"A,f,nom,plen,sg";"A";"1";"княгиня";"княгиня";"S,anim,f,nom,sg";"S";"0.000277";"0.00024624696142283835";"0.0003115924955811036";"4.93711944586315";"4.38899155857548";"5.55368003291875";"1922.864196";"1709.3843519630652";"2162.996583015134"
"большой";"большое";"A,n,nom,plen,sg";"A";"1";"количество";"количество";"S,inan,n,nom,sg";"S";"0.000256";"0.00022650516725252832";"0.00028933445109799373";"4.562825191844644";"4.0371229813391425";"5.15696297788464";"1777.087488";"1572.3417917649037";"2008.4868472405958"
"старший";"старший";"A,m,nom,plen,sg";"A";"1";"брат";"брат";"S,anim,m,nom,sg";"S";"0.000255";"0.00022556634240047518";"0.00028827328363321736";"4.545001655939001";"4.020389802879464";"5.138049221474299";"1770.14574";"1565.8247062258138";"2001.1204901143194"
"новый";"новый";"A,m,nom,plen,sg";"A";"1";"год";"год";"S,inan,m,nom,sg";"S";"0.000247";"0.0002180601129735866";"0.0002797795745254698";"4.402413368693856";"3.88660225317332";"4.986661292220271";"1714.6117559999998";"1513.7183531141686";"1942.1593019030308"
"добрый";"добрые";"A,nom,pl,plen";"A";"1";"человек";"люди";"S,anim,m,nom,pl";"S";"0.000243";"0.00021430998765086312";"0.00027552973058087525";"4.3311192250712836";"3.8197617598330966";"4.9109140460804115";"1686.844764";"1487.6859281554036";"1912.6579562003294"
"местный";"местные";"A,nom,pl,plen";"A";"1";"житель";"жители";"S,anim,m,nom,pl";"S";"0.000228";"0.0002002657801895166";"0.00025957405328977905";"4.063766186486636";"3.5694443238794857";"4.626527458983702";"1582.7185439999998";"1390.1945790990164";"1801.897665276217"
"огромный";"огромное";"A,n,nom,plen,sg";"A";"1";"количество";"количество";"S,inan,n,nom,sg";"S";"0.000225";"0.00019746066276482007";"0.00025637919376398705";"4.010295578769707";"3.5194472127408623";"4.569583765512263";"1561.8933";"1370.7221608263642";"1779.7197555527696"
"главный";"главный";"A,m,nom,plen,sg";"A";"1";"редактор";"редактор";"S,anim,m,nom,sg";"S";"0.000224";"0.00019652591097658715";"0.00025531395323539043";"3.9924720428640637";"3.5027866306804283";"4.5505974127026745";"1554.951552";"1364.2333494699017";"1772.325124243865"
"русский";"русские";"A,nom,pl,plen";"A";"1";"человек";"люди";"S,anim,m,nom,pl";"S";"0.000212";"0.00018532050738053987";"0.00024251944902948353";"3.778589611996346";"3.3030667173490573";"4.322554107593791";"1471.650576";"1286.448261467848";"1683.508900261519"
"странный";"странное";"A,n,nom,plen,sg";"A";"1";"дело";"дело";"S,inan,n,nom,sg";"S";"0.00021";"0.00018345509817091677";"0.0002403848736054476";"3.7429425401850596";"3.2698185293226225";"4.284508425880182";"1457.7670799999999";"1273.4990608177652";"1668.6912155808684"
"подавляющий";"подавляющее";"A,n,nom,plen,sg";"A";"1";"большинство";"большинство";"S,inan,n,nom,sg";"S";"0.000208";"0.00018159032884794527";"0.00023824965829476007";"3.7072954683737733";"3.2365817463388975";"4.246451339123865";"1443.883584";"1260.5543020995663";"1653.8690889683342"
"милый";"милый";"A,m,nom,plen,sg";"A";"1";"друг";"друг";"S,anim,m,nom,sg";"S";"0.000207";"0.00018065818701254007";"0.00023718180781333577";"3.68947193246813";"3.219967682866401";"4.2274184677263404";"1436.941836";"1254.083608377926";"1646.456340024608"
"женский";"женский";"A,m,nom,plen,sg";"A";"1";"голос";"голос";"S,inan,m,nom,sg";"S";"0.000206";"0.00017972620861869183";"0.00023611379389035448";"3.671648396562487";"3.2033565325003637";"4.208382683222357";"1430.000088";"1247.6140492263867";"1639.0424565107803"
"железный";"железная";"A,f,nom,plen,sg";"A";"1";"дорога";"дорога";"S,f,inan,nom,sg";"S";"0.000206";"0.00017972620861869183";"0.00023611379389035448";"3.671648396562487";"3.2033565325003637";"4.208382683222357";"1430.000088";"1247.6140492263867";"1639.0424565107803"
"новый";"новая";"A,f,nom,plen,sg";"A";"1";"жизнь";"жизнь";"S,f,inan,nom,sg";"S";"0.000205";"0.0001787943948521806";"0.00023504561534003622";"3.6538248606568438";"3.186748316375578";"4.189343964477121";"1423.0583399999998";"1241.145632876335";"1631.6274301954656"
