"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"уже";"уже";"ADV";"ADV";"1";"давно";"давно";"ADV";"ADV";"0.012500626155832553";"0.012282352448724528";"0.012722728911132032";"31.396443237957403";"30.848229254903593";"31.954274218807946";"12228.0";"12014.486624170295";"12445.258916309152"
"очень";"очень";"ADV";"ADV";"1";"хорошо";"хорошо";"ADV";"ADV";"0.012465868117780679";"0.012247896983622128";"0.012687668573136577";"31.3091453094253";"30.761691265458943";"31.866217036867162";"12194.0";"11980.782598306312";"12410.963209225041"
"очень";"очень";"ADV";"ADV";"1";"часто";"часто";"ADV";"ADV";"0.005939535325923056";"0.00578918916225491";"0.006093762071660081";"14.91767543445637";"14.54006756627377";"15.305029732388729";"5810.0";"5662.932735815293";"5960.863214639246"
"очень";"очень";"ADV";"ADV";"1";"скоро";"скоро";"ADV";"ADV";"0.005530617231195135";"0.005385577246250291";"0.005679541010042913";"13.890640981137516";"13.52636005650317";"14.264676402330783";"5410.0";"5268.123192086819";"5555.675900154887"
"очень";"очень";"ADV";"ADV";"1";"быстро";"быстро";"ADV";"ADV";"0.004421426899245648";"0.004291877934821252";"0.004554868369672856";"11.10481002651012";"10.779436188641291";"11.439960242157728";"4325.0";"4198.276368940736";"4455.531245398661"
"совсем";"совсем";"ADV";"ADV";"1";"недавно";"недавно";"ADV";"ADV";"0.0041730091566984364";"0.0040471918123673465";"0.004302720958221527";"10.480886596118918";"10.16488505664415";"10.806669413959026";"4082.0";"3958.926606131427";"4208.882916843673"
"еще";"еще";"ADV";"ADV";"1";"недавно";"недавно";"ADV";"ADV";"0.0040932701282264915";"0.003968674309378425";"0.0042217610305741995";"10.28061487772174";"9.96768130900407";"10.603331297832542";"4004.0";"3882.121491365191";"4129.688644258406"
"еще";"еще";"ADV";"ADV";"1";"долго";"долго";"ADV";"ADV";"0.003861209109468396";"0.0037402384138387097";"0.0039860767113135505";"9.69777282546329";"9.393944078691147";"10.011389001542762";"3777.0";"3658.6675542713015";"3899.144364316513"
"уже";"уже";"ADV";"ADV";"1";"совсем";"совсем";"ADV";"ADV";"0.003607679890737085";"0.003490797992689392";"0.0037284606863373605";"9.061011464405599";"8.767452099310363";"9.36436326022985";"3529.0";"3414.667179266829";"3647.146687229029"
"очень";"очень";"ADV";"ADV";"1";"долго";"долго";"ADV";"ADV";"0.003485004462318709";"0.0033701531392936347";"0.003603755646446582";"8.752901128409944";"8.464441734519614";"9.051155373072033";"3409.0";"3296.6534694787797";"3525.1613395532286"
"довольно";"довольно";"ADV";"ADV";"1";"долго";"долго";"ADV";"ADV";"0.0030096371771975005";"0.0029030174024581392";"0.00312016054679675";"7.558973576426774";"7.291188453992225";"7.836562927298736";"2944.0";"2839.70549592793";"3052.1129654316596"
"уже";"уже";"ADV";"ADV";"1";"почти";"почти";"ADV";"ADV";"0.0028266463298067556";"0.0027233689287893006";"0.0029338287629798398";"7.099375658566586";"6.839985207369438";"7.36857394809825";"2765.0";"2663.9749758213347";"2869.8448914880123"
"еще";"еще";"ADV";"ADV";"1";"вчера";"вчера";"ADV";"ADV";"0.0027141938537565773";"0.0026130247625117285";"0.00281926886041142";"6.816941183903901";"6.562845941704965";"7.0808464828098705";"2655.0";"2556.0373054661104";"2757.783425834707"
