"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"слава";"слава";"S,f,inan,nom,sg";"S";"1";"бог";"богу";"S,anim,dat,m,sg";"S";"0.004722";"0.004589522859965294";"0.0048582824453458455";"39.465390710557585";"38.35817722227149";"40.60440806603492";"15370.619976";"14939.392577655906";"15814.234054104823"
"точка";"точка";"S,f,inan,nom,sg";"S";"1";"зрение";"зрения";"S,gen,inan,n,sg";"S";"0.000771";"0.0007184820272766238";"0.000827353634241099";"6.443840795815311";"6.004907650356936";"6.914831518662584";"2509.688268";"2338.736594844356";"2693.125433647275"
"день";"день";"S,inan,m,nom,sg";"S";"1";"рождение";"рождения";"S,gen,inan,n,sg";"S";"0.000729";"0.0006779826281286729";"0.0007838533560822101";"6.092814448961559";"5.666422980531289";"6.551266191775993";"2372.973732";"2206.906676682668";"2551.527330210051"
"государь";"государь";"S,anim,m,nom,sg";"S";"1";"император";"император";"S,anim,m,nom,sg";"S";"0.000634";"0.0005865452774570294";"0.0006852914366550497";"5.298826283459023";"4.902210619287182";"5.727508322361469";"2063.738472";"1909.268225012596";"2230.6976377873452"
"начальник";"начальник";"S,anim,m,nom,sg";"S";"1";"штаб";"штаба";"S,gen,inan,m,sg";"S";"0.000608";"0.0005615661642461108";"0.0006582707496284008";"5.081524259216224";"4.693440932190156";"5.501675630541394";"1979.105664";"1827.9585137668291";"2142.7423832814043"
"господь";"господь";"S,anim,m,nom,sg";"S";"1";"бог";"бог";"S,anim,m,nom,sg";"S";"0.00054";"0.0004963444128614056";"0.0005874930234686989";"4.513195888119673";"4.148332524476424";"4.91013166262579";"1757.75832";"1615.6546690604641";"1912.3532406371494"
"событие";"события";"S,inan,n,nom,pl";"S";"1";"день";"дня";"S,gen,inan,m,sg";"S";"0.000519";"0.0004762373736548969";"0.0005656002240217878";"4.337682714692797";"3.980282512126284";"4.727156676619812";"1689.401052";"1550.2040848830443";"1841.0898140151135"
"образ";"образ";"S,inan,m,nom,sg";"S";"1";"жизнь";"жизни";"S,f,gen,inan,sg";"S";"0.000503";"0.0004609299134416345";"0.000548907807165778";"4.2039583920818435";"3.852346277881743";"4.5876452930692135";"1637.319324";"1500.3766486831719";"1786.754194367781"
"командир";"командир";"S,anim,m,nom,sg";"S";"1";"полк";"полка";"S,gen,inan,m,sg";"S";"0.000421";"0.00038266610419574615";"0.000463172246431646";"3.518621238700708";"3.1982353481092884";"3.8710871816415864";"1370.400468";"1245.6194970964068";"1507.6756847376223"
"десяток";"десятки";"S,inan,m,nom,pl";"S";"1";"тысяча";"тысяч";"S,f,gen,inan,pl";"S";"0.000389";"0.00035222202376115766";"0.00042961657272769";"3.2511725934788016";"2.943790721007494";"3.5906365731531054";"1266.237012";"1146.5207273211345";"1398.4483428184853"
"выражение";"выражение";"S,inan,n,nom,sg";"S";"1";"лицо";"лица";"S,gen,inan,n,sg";"S";"0.000386";"0.00034937111561392177";"0.00042646750392443737";"3.226099282989248";"2.9199634859565458";"3.5643173798674654";"1256.4716879999999";"1137.2407134038015";"1388.1977837644674"
"сотня";"сотни";"S,f,inan,nom,pl";"S";"1";"тысяча";"тысяч";"S,f,gen,inan,pl";"S";"0.000385";"0.00034842094138546275";"0.00042541768583606685";"3.217741512826063";"2.912022148140104";"3.5555432415717108";"1253.21658";"1134.1477936713509";"1384.7805125064679"
"председатель";"председатель";"S,anim,m,nom,sg";"S";"1";"совет";"совета";"S,gen,inan,m,sg";"S";"0.000381";"0.0003446208935961099";"0.00042121776435810165";"3.184310432173325";"2.880262222107575";"3.520441263155455";"1240.196148";"1121.778227711846";"1371.1093145041714"
"заместитель";"заместитель";"S,anim,m,nom,sg";"S";"1";"председатель";"председателя";"S,anim,gen,m,sg";"S";"0.000371";"0.00033512540839950966";"0.0004107133263864068";"3.100732730541479";"2.8009011392464687";"3.432647584894601";"1207.645068";"1090.869397884511";"1336.9162344270037"
"черта";"черты";"S,f,inan,nom,pl";"S";"1";"лицо";"лица";"S,gen,inan,n,sg";"S";"0.000321";"0.0002877565429560313";"0.00035808257598840933";"2.68284422238225";"2.4050030489790606";"2.992771869552202";"1044.889668";"936.6786250285211";"1165.597457760479"
"человек";"человек";"S,anim,m,nom,sg";"S";"1";"год";"лет";"S,gen,inan,m,pl";"S";"0.0003";"0.000267922363074158";"0.00033591691721686275";"2.507331048955374";"2.2392335321511037";"2.8075163880240406";"976.5323999999999";"872.1162274215962";"1093.4458445679477"
"начальник";"начальник";"S,anim,m,nom,sg";"S";"1";"отдел";"отдела";"S,gen,inan,m,sg";"S";"0.000294";"0.00026226287908368446";"0.00032957644730635926";"2.4571844279762667";"2.1919328657165034";"2.7545241977854644";"957.001752";"853.693995808334";"1072.8069302385086"
