"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"dist_1";"word_lex_2";"word_form_2";"word_gramm_2";"word_pos_2";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"рука";"рука";"S,f,inan,nom,sg";"S";"1";"об";"об";"PR";"PR";"1";"рука";"руку";"S,acc,f,inan,sg";"S";"0.000909";"0.0008518198996797742";"0.0009700147015604215";"2.49961256152283";"2.342375931127261";"2.667393765547028";"973.526274";"912.2871870784427";"1038.8721651653896"
"шаг";"шаг";"S,inan,m,nom,sg";"S";"1";"за";"за";"PR";"PR";"1";"шаг";"шагом";"S,inan,ins,m,sg";"S";"0.000797";"0.000743573526843208";"0.0008542619349120819";"2.191629495636629";"2.0447147724016674";"2.349091158786621";"853.575842";"796.3568372197";"914.902572623751"
"стук";"стук";"S,inan,m,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"дверь";"дверь";"S,acc,f,inan,sg";"S";"0.000777";"0.0007242710288183991";"0.0008335645866003006";"2.1366325195855214";"1.99163582132182";"2.2921765803153975";"832.156122";"775.684132070102";"892.7360023447096"
"горе";"горе";"S,inan,n,nom,sg";"S";"1";"от";"от";"PR";"PR";"1";"ум";"ума";"S,gen,inan,m,sg";"S";"0.000538";"0.0004944287000692985";"0.0005854087516271469";"1.4794186557747884";"1.3596041688345681";"1.609785554667343";"576.190468";"529.5262157724178";"626.9645772701515"
"ростов";"ростов";"S,inan,m,nom,sg,topon";"S";"1";"на";"на";"PR";"PR";"1";"дон";"дону";"S,inan,loc2,m,sg,topon";"S";"0.000519";"0.0004762373736548969";"0.0005656002240217878";"1.4271715285262363";"1.309580771677032";"1.5553150987513613";"555.841734";"510.04355986116343";"605.7499215241984"
"ответ";"ответы";"S,inan,m,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"вопрос";"вопросы";"S,acc,inan,m,pl";"S";"0.000451";"0.0004112602512320575";"0.0004945778689002202";"1.2401818099524713";"1.1309035093890933";"1.3600143605656565";"483.014686";"440.4539714260163";"529.6859735019711"
"звонок";"звонок";"S,inan,m,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"дверь";"дверь";"S,acc,f,inan,sg";"S";"0.000425";"0.000386475829020121";"0.0004673624908745892";"1.1686857410860316";"1.0627500956475733";"1.2851761858907835";"455.16904999999997";"413.9102022189433";"500.53868465181284"
"дело";"дело";"S,inan,n,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"конец";"концом";"S,inan,ins,m,sg";"S";"0.000408";"0.00037029081727802044";"0.000449547633230588";"1.1219383114425903";"1.0182437604892132";"1.2361880209307323";"436.962288";"396.57628123331796";"481.45922152309447"
"ответ";"ответ";"S,inan,m,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"вопрос";"вопрос";"S,acc,inan,m,sg";"S";"0.000404";"0.00036648503067270575";"0.0004453534505685846";"1.1109389162323688";"1.0077784227498074";"1.224654652759924";"432.678344";"392.5003370600385";"476.96731061064617"
"слово";"слово";"S,inan,n,nom,sg";"S";"1";"за";"за";"PR";"PR";"1";"слово";"слово";"S,acc,inan,n,sg";"S";"0.000402";"0.000364582497473822";"0.00044325599913380936";"1.1054392186272581";"1.002546744111035";"1.2188869784435892";"430.536372";"390.4627506394987";"474.720969488322"
"отец";"отец";"S,anim,m,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"мать";"матерью";"S,anim,f,ins,sg";"S";"0.000401";"0.00036363132168122756";"0.0004422071826095743";"1.102689369824703";"0.9999311544967496";"1.216002891580321";"429.465386";"389.4440546820912";"473.59770167429747"
"душа";"душа";"S,f,inan,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"душа";"душу";"S,acc,f,inan,sg";"S";"0.000397";"0.00035982722918533646";"0.0004380113058381473";"1.0916899746144813";"0.9894704753021136";"1.2044648648647427";"425.181442";"385.36992487628675";"469.10397639437406"
"день";"день";"S,inan,m,nom,sg";"S";"1";"за";"за";"PR";"PR";"1";"день";"днем";"S,inan,ins,m,sg";"S";"0.000395";"0.0003579255525643143";"0.00043591299782551053";"1.0861902770093705";"0.9842411521229482";"1.198694835088801";"423.03947";"383.3332558386447";"466.8567178891522"
"слово";"слово";"S,inan,n,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"слово";"слово";"S,acc,inan,n,sg";"S";"0.000364";"0.00032848261947788485";"0.0004033561690902249";"1.0009449641301542";"0.9032775378315124";"1.1091684785760756";"389.838904";"351.80028670414197";"431.9888101092636"
"снег";"снег";"S,inan,m,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"голова";"голову";"S,acc,f,inan,sg";"S";"0.000323";"0.0002896475242949607";"0.00036019157928313887";"0.888201163225384";"0.7964868978456247";"0.9904723829822665";"345.928478";"310.20844345456277";"385.76013873013176"
"рыба";"рыба";"S,anim,f,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"вода";"воде";"S,f,inan,loc,sg";"S";"0.000293";"0.00026131996761481676";"0.0003285193664583974";"0.805705699148723";"0.7185904000294115";"0.9033785864718725";"313.798898";"279.8700268359221";"351.8396422058132"
"борьба";"борьба";"S,f,inan,nom,sg";"S";"1";"за";"за";"PR";"PR";"1";"существование";"существование";"S,acc,inan,n,sg";"S";"0.000292";"0.0002603771534105215";"0.00032746218834586315";"0.8029558503461676";"0.715997803518698";"0.9004715065050322";"312.727912";"278.86028602252077";"350.7074192477826"
"знак";"знаки";"S,inan,m,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"шапка";"шапки";"S,acc,f,inan,pl";"S";"0.000286";"0.0002547223389467854";"0.0003211170489086222";"0.7864567575308354";"0.7004479187369205";"0.8830233324214884";"306.301996";"272.8040588992619";"343.91186374244967"
"нос";"нос";"S,inan,m,nom,sg";"S";"1";"к";"к";"PR";"PR";"1";"нос";"носу";"S,dat,inan,m,sg";"S";"0.000284";"0.0002528382020053442";"0.0003190012012164043";"0.7809570599257246";"0.695266827024648";"0.8772050711786537";"304.160024";"270.7861746128956";"341.64582048595196"
"цена";"цены";"S,f,inan,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"нефть";"нефть";"S,acc,f,inan,sg";"S";"0.00027";"0.00023966090506343077";"0.0003041786057227046";"0.7424591766899495";"0.6590312528080109";"0.8364451747095407";"289.16622";"256.67347407026347";"325.77102822853647"
"волос";"волосы";"S,inan,m,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"голова";"голове";"S,f,inan,loc,sg";"S";"0.000266";"0.00023589984916394752";"0.00029993969235486977";"0.731459781479728";"0.6486889177464731";"0.8247888038608641";"284.882276";"252.6454358566995";"321.2312113563725"
"плоть";"плоть";"S,f,inan,nom,sg";"S";"1";"от";"от";"PR";"PR";"1";"плоть";"плоти";"S,f,gen,inan,sg";"S";"0.000265";"0.0002349598645828318";"0.0002988796846191559";"0.7287099326771727";"0.6461041022716716";"0.821873942858112";"283.81129";"251.6387255301087";"320.0959579115313"
