"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"обратить";"обратить";"V,act,inf,pf,tran";"V";"1";"внимание";"внимание";"S,acc,inan,n,sg";"S";"0.002058";"0.001971068241038412";"0.002148757532238897";"7.6879315143026306";"7.363186417453967";"8.02696829382632";"2994.22536";"2867.7466052516065";"3126.270308805016"
"принять";"принять";"V,act,inf,pf,tran";"V";"1";"участие";"участие";"S,acc,inan,n,sg";"S";"0.001926";"0.001841958149654539";"0.0020138686378012743";"7.19482803525115";"6.880878574711221";"7.523072967064201";"2802.17592";"2679.9017510953818";"2930.01775850983"
"пить";"пить";"V,act,inf,ipf,tran";"V";"1";"чай";"чай";"S,acc,inan,m,sg";"S";"0.001577";"0.0015011182538965235";"0.0016567112149857889";"5.8910923216983715";"5.6076260110913605";"6.1888641204022585";"2294.40884";"2184.00696995913";"2410.382280907124"
"иметь";"иметь";"V,act,inf,ipf,tran";"V";"1";"дело";"дело";"S,acc,inan,n,sg";"S";"0.001508";"0.0014338358186684063";"0.0015859941803526695";"5.633333684921461";"5.3562835649546905";"5.9246912733886585";"2194.01936";"2086.1164092970375";"2307.494652878706"
"иметь";"иметь";"V,act,inf,ipf,tran";"V";"1";"возможность";"возможность";"S,acc,f,inan,sg";"S";"0.000967";"0.0009079671320133079";"0.0010298670236029998";"3.6123565472938015";"3.3918314519708876";"3.8472046386290346";"1406.90764";"1321.019539708802";"1498.3741299804765"
"принять";"принять";"V,act,inf,pf,tran";"V";"1";"мера";"меры";"S,acc,f,inan,pl";"S";"0.000949";"0.000890536023153313";"0.0010112982707600633";"3.5451151637867815";"3.3267152366482464";"3.777838603564648";"1380.71908";"1295.658670806218";"1471.3580800942314"
"сделать";"сделать";"V,act,inf,pf,tran";"V";"1";"вывод";"вывод";"S,acc,inan,m,sg";"S";"0.000845";"0.0007899344478799788";"0.0009039006450831279";"3.1566093924128875";"2.950904730850213";"3.37664055157097";"1229.4074";"1149.2914269095388";"1315.1031265443444"
"сказать";"сказать";"V,act,inf,pf,tran";"V";"1";"правда";"правду";"S,acc,f,inan,sg";"S";"0.000728";"0.0006770188769937136";"0.0007828171149003399";"2.719540399617257";"2.5290936638570196";"2.9243169910484874";"1059.18176";"985.0083045156937";"1138.9362768108026"
"дать";"дать";"V,act,inf,pf,tran";"V";"1";"возможность";"возможность";"S,acc,f,inan,sg";"S";"0.000651";"0.0006028890626103402";"0.0007029475208878404";"2.4318967035038934";"2.2521719261760964";"2.625953546518239";"947.15292";"877.1553549730362";"1022.7324070901369"
"обращать";"обращать";"V,act,inf,ipf,tran";"V";"1";"внимание";"внимание";"S,acc,inan,n,sg";"S";"0.000638";"0.0005903900899022882";"0.0006894465934771088";"2.383333482082157";"2.205480358547991";"2.5755190444223808";"928.23896";"858.9703496006372";"1003.0896377817153"
"принимать";"принимать";"V,act,inf,ipf,tran";"V";"1";"участие";"участие";"S,acc,inan,n,sg";"S";"0.000625";"0.0005778962498618584";"0.000675940533398755";"2.3347702606604197";"2.1588079646794402";"2.5250653685669677";"909.325";"840.7928118490149";"983.4394008525168"
"играть";"играть";"V,act,inf,ipf,tran";"V";"1";"роль";"роль";"S,acc,f,inan,sg";"S";"0.000623";"0.0005759745863116584";"0.0006738622123152959";"2.3272989958263066";"2.151629336026637";"2.517301524954545";"906.41516";"837.9969451165581";"980.4156099417703"
