"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"dist_1";"word_lex_2";"word_form_2";"word_gramm_2";"word_pos_2";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"принять";"принять";"V,act,inf,pf,tran";"V";"1";"во";"во";"PR";"PR";"1";"внимание";"внимание";"S,acc,inan,n,sg";"S";"0.0012302742352990504";"0.0011601881603328936";"0.0013045886263381018";"2.8628585386263086";"2.699767650108357";"3.035788754365768";"1115.0";"1051.4808500860222";"1182.3512812274744"
"ответить";"ответить";"V,act,inf,intr,pf";"V";"1";"на";"на";"PR";"PR";"1";"вопрос";"вопрос";"S,acc,inan,m,sg";"S";"0.0008264353383309317";"0.0007693512832384177";"0.0008877511330371258";"1.9231220138395564";"1.790286935405768";"2.0658043861031814";"749.0";"697.2646067015444";"804.5706273738132"
"привести";"привести";"V,act,inf,pf,tran";"V";"1";"в";"в";"PR";"PR";"1";"порядок";"порядок";"S,acc,inan,m,sg";"S";"0.0008021608691142687";"0.0007459509829450221";"0.0008626027006838002";"1.8666351189070192";"1.7358342389424604";"2.0072837715685825";"727.0";"676.0568677450394";"781.7785528351295"
"ехать";"ехать";"V,act,inf,intr,ipf";"V";"1";"в";"в";"PR";"PR";"1";"москва";"москву";"S,acc,f,inan,sg,topon";"S";"0.0007260273065710988";"0.0006726486514936083";"0.0007836385524704976";"1.6894716757095167";"1.5652590944130902";"1.8235335316045178";"658.0";"609.6228181459602";"710.213187381117"
"жить";"жить";"V,act,inf,intr,ipf";"V";"1";"на";"на";"PR";"PR";"1";"свет";"свете";"S,inan,loc,m,sg";"S";"0.0006476869740991414";"0.0005973814464393427";"0.0007022257567103451";"1.5071730602454199";"1.390111672411065";"1.6340852681132987";"587.0";"541.4079996708691";"636.4286077580992"
"ходить";"ходить";"V,act,inf,intr,ipf";"V";"1";"по";"по";"PR";"PR";"1";"комната";"комнате";"S,dat,f,inan,sg";"S";"0.0006046549604877844";"0.0005561169602537451";"0.0006574265804767551";"1.4070372010468315";"1.2940888644639006";"1.5298372065641739";"548.0";"504.00991331188965";"595.8270247392442"
"сойти";"сойти";"V,act,inf,intr,pf";"V";"1";"с";"с";"PR";"PR";"1";"ум";"ума";"S,gen,inan,m,sg";"S";"0.0005671398716983963";"0.0005201948402856786";"0.0006183188408998891";"1.3197392725147288";"1.2104977878360623";"1.4388331661952474";"514.0";"471.45362414059105";"560.3836021452513"
"играть";"играть";"V,act,inf,intr,ipf";"V";"1";"в";"в";"PR";"PR";"1";"карта";"карты";"S,acc,f,inan,pl";"S";"0.0005461755573749148";"0.0005001437129135703";"0.000596441517349829";"1.2709551359820832";"1.1638386450536644";"1.387924449479453";"495.0";"453.28124730099455";"540.5561400571847"
"подать";"подать";"V,act,inf,intr,pf";"V";"1";"в";"в";"PR";"PR";"1";"отставка";"отставку";"S,acc,f,inan,sg";"S";"0.0004810758444756825";"0.0004379973787531869";"0.0005283889775940057";"1.119467554117552";"1.0192236004639268";"1.2295656145748046";"436.0";"396.95790035877076";"478.87998717140255"
"отвечать";"отвечать";"V,act,inf,intr,ipf";"V";"1";"на";"на";"PR";"PR";"1";"вопрос";"вопросы";"S,acc,inan,m,pl";"S";"0.00047886907454689496";"0.00043589411928128037";"0.0005260787159162105";"1.1143323818509578";"1.014329297904928";"1.2241896161339938";"434.0";"395.05171209286294";"476.78619239229334"
